Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries,7D Avg New Cases,7D Avg New Deaths,Case Fatality Rate (%),Doubling Time (days)
2020-06-26,9777487,494782,4875774,4406931,191346,4827,106316,5.06,49.87,10.15,187,161386.14285714287,4829.857142857143,5.060420944563772,39.51827802546835
2020-06-27,9955597,499268,4981808,4474521,178110,4486,106034,5.01,50.04,10.02,187,164323.0,4863.714285714285,5.014947873040662,39.51904751631039
2020-06-28,10117227,502357,5070592,4544278,162349,3089,88784,4.97,50.12,9.91,187,169153.0,4738.857142857143,4.965362544499595,39.00678773724796
2020-06-29,10275799,506078,5164494,4605227,158572,3721,93902,4.92,50.26,9.8,187,172112.14285714287,4760.285714285715,4.924950361524199,38.93204045721622
2020-06-30,10449697,511210,5281459,4657028,173898,5132,116965,4.89,50.54,9.68,187,173335.0,4734.714285714285,4.892103570084377,39.33606387928123
2020-07-01,10667386,516221,5397083,4754082,217689,5011,115624,4.84,50.59,9.56,187,179978.7142857143,4699.0,4.83924552837968,38.62968844712272
2020-07-02,10875091,521341,5681477,4672273,207705,5120,284394,4.79,52.24,9.18,187,184238.42857142858,4483.714285714285,4.793900115410529,38.460395707206864
2020-07-03,11078585,526336,5790942,4761307,203495,4995,109465,4.75,52.27,9.09,187,185974.0,4507.714285714285,4.75093163973558,38.83753517243093
2020-07-04,11272152,530705,5986375,4755072,193567,4369,195433,4.71,53.11,8.87,187,188182.14285714287,4491.0,4.708107200825539,39.06615497284748
2020-07-05,11454847,534150,6105546,4815151,182695,3445,119171,4.66,53.3,8.75,187,191088.7142857143,4541.857142857143,4.663091527979379,39.07465224272834
2020-07-06,11622190,537947,6228768,4855475,167343,3797,123222,4.63,53.59,8.64,187,192341.7142857143,4552.714285714285,4.628619907263605,39.40745388594742
2020-07-07,11833034,544054,6373513,4915467,210844,6107,144745,4.6,53.86,8.54,187,197619.7142857143,4692.0,4.597755740412814,39.02788912280889
2020-07-08,12044836,549373,6531016,4964447,211802,5319,157503,4.56,54.22,8.41,187,196778.7142857143,4736.0,4.561066667906479,39.952500491701976
2020-07-09,12273063,554831,6665237,5052995,228227,5458,134221,4.52,54.31,8.32,187,199710.42857142858,4784.285714285715,4.520721518336539,40.12199940077424
2020-07-10,12505640,560142,6804254,5141244,232577,5311,139017,4.48,54.41,8.23,187,203865.0,4829.428571428572,4.479115023301486,40.04456031590107
2020-07-11,12721968,565039,6929711,5227218,216328,4897,125457,4.44,54.47,8.15,187,207116.57142857142,4904.857142857143,4.441443336439771,40.1010795188014
2020-07-12,12914636,568993,7041174,5304469,192668,3954,111463,4.41,54.52,8.08,187,208541.2857142857,4977.571428571428,4.405799745343191,40.4510190233945
2020-07-13,13107415,572808,7181139,5353468,192779,3815,139965,4.37,54.79,7.98,187,212175.0,4980.142857142857,4.370106538932352,40.34553181884888
